Monteur : M Gutte;;
Adres       : Koepel 1;;
;;
Locatie;Tappunt;Temp.
Keuken;Keukenmengkraan;42,5 C°
Kamer 0.08;Wastafelmengkraan;43,2 C°
Kamer 0.14;Wastafelmengkraan;35,6 C°
Kamer 0.13;Wastafelmengkraan;34,3 C°
Kamer 0.12;Wastafelmengkraan;34,3 C°
Kamer 0.11;Wastafelmengkraan;33,8 C°
Kamer 0.10;Wastafelmengkraan;37,0 C°
Kamer 0.09;Wastafelmengkraan;31,7 C°
Badkamer Groot;Wastafelmengkraan;31,6 C°
;Badmengkraan;39,1 C°
Badkamer Klein;Wastafelmengkraan;44,0 C°
;Badmengkraan;39,6 C°
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
