;;;Onderhoudsrapport;;;;;;;
;;;;;;;;;;
;;;BCO Brandpreventie;;;;;;;
;;;Galliershof 22;;;;;;;
;;;5349 BV Oss;;;;;;;
;;;;;;;;;;
Klant: Gemeente Oss;;;Naam monteur: Marty Gutte;;;;;;;
Locatie: Bontehoef/PSZ dikkertje dap;;;Datum: December, 2015;;;;;;;
Adres: Vlasakker 9, Oss;;;Complexnr: ;;;;;;;
;;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;;dikkertje dap hal;kw kraan;EA;;;JA;1/2;schroef;
2;;dikkertje dap klaslokaal;BSH;;;;JA;;;
3;;dikkertje dap keuken;boiler;EA;;;JA;Ø15;knel;
4;;bonte hoef zaal;BSH;;;;JA;;;
5;;bonte hoef keuken;VW;EA;;;JA;1/2;schroef;
6;;bonte hoef keuken;boiler;EA;;;JA;Ø15;knel;
7;;bonte hoef bar;koffie machine;;;;JA;3/4;schroef;
8;;bonte hoef kelder cv ruimte;vulkraan;CA;;;JA;Ø15;knel;
9;;bonte hoef hal boven;BSH;;;;JA;;;
10;;robbedoes hal;BSH;;;;JA;Ø15;CAP;
11;;robbedoes hal;poetshok boiler;EA;;;JA;Ø15;knel;
12;1e verd.;robbedoes klas keuken;boiler;EA;;;JA;Ø15;knel;
13;BG;Robbendoes klas keuken;Boiler;EA;;;JA;Ø15;knel;
14;;kelder;watermeter;EA;;;JA;;;
15;BG;Robbendoes klas wc;Boiler;EA;;;JA;ø5;Knel;
 Opmerkingen:;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
